Targeted Security,Equivalent Security,Equivalent Rank
Vanguard S&P 500 ETF (VOO),Vanguard Total Stock Market Index Fund (VTSAX),20
Vanguard S&P 500 ETF (VOO),Vanguard Large-Cap ETF (VV),21
Vanguard Tax-Exempt Bond Index ETF (VTEB),Dimensional National Municipal Bond ETF (DFNM),1
Vanguard Tax-Exempt Bond Index ETF (VTEB),DFA Intermediate-Term Municipal Bond Portfolio (DFTIX),2
Vanguard Tax-Exempt Bond Index ETF (VTEB),DFA Selective State Municipal Bond Portfolio (DSSMX),3
Vanguard Tax-Exempt Bond Index ETF (VTEB),State Street SPDR Nuveen ICE Municipal Bond ETF (TFI),4
Vanguard Tax-Exempt Bond Index ETF (VTEB),Vanguard Short-Term Tax-Exempt Bond ETF (VTES),5
Vanguard Tax-Exempt Bond Index ETF (VTEB),Vanguard Intermediate-Term Tax-Exempt Fund (VWIUX),6
Vanguard Short-Term Inflation-Protected Securities ETF (VTIP),Dimensional Inflation-Protected Securities ETF (DFIP),1
Vanguard Short-Term Inflation-Protected Securities ETF (VTIP),DFA Inflation Protected Securities Portfolio (DIPSX),2
Vanguard FTSE Emerging Markets ETF (VWO),iShares MSCI Emerging Markets ETF (EEM),1
Vanguard FTSE Emerging Markets ETF (VWO),Fidelity Emerging Markets Index Fund (FPADX),2
Vanguard FTSE Emerging Markets ETF (VWO),iShares Core MSCI Emerging Markets ETF (IEMG),3
Vanguard FTSE Emerging Markets ETF (VWO),Schwab Emerging Markets Equity ETF (SCHE),4
Vanguard Extended Market ETF (VXF),Fidelity Extended Market Index Fund (FSMAX),1
Vanguard Extended Market ETF (VXF),iShares Core S&P Small-Cap ETF (IJR),2
Vanguard Extended Market ETF (VXF),iShares Russell 2000 ETF (IWM),3
Vanguard Extended Market ETF (VXF),iShares Russell Mid-Cap ETF (IWR),4
Vanguard Extended Market ETF (VXF),Schwab U.S. Mid-Cap ETF (SCHM),5
Vanguard Extended Market ETF (VXF),Vanguard Small-Cap ETF (VB),6
Vanguard Extended Market ETF (VXF),Vanguard Mid-Cap Index Fund (VIMAX),7
Vanguard High Dividend Yield ETF (VYM),iShares Select Dividend ETF (DVY),1
Vanguard High Dividend Yield ETF (VYM),Schwab US Dividend Equity ETF (SCHD),2
Vanguard High Dividend Yield ETF (VYM),State Street SPDR S&P Dividend ETF (SDY),3
Vanguard High Dividend Yield ETF (VYM),Vanguard Dividend Appreciation ETF (VIG),4
